		ENRC1	ENRC2	ENRC3	ENRI1	ENRI2	ENRI3
Gene: Edem3	Type_Where: goblet_crypt&villi	23.4125	23.5207	23.6948	23.1373	22.833	23.0334
Gene: Lss	Type_Where: goblet_crypt&villi	29.0094	28.9896	28.8888	28.5107	28.4008	28.4966
Gene: Sil1	Type_Where: goblet_crypt&villi	25.0687	25.1301	25.0368	24.4549	24.5755	24.5774
Gene: Srprb	Type_Where: goblet_crypt&villi	27.9896	28.0892	27.907	27.444	27.4826	27.4603
Gene: Ppib	Type_Where: goblet_crypt&villi	31.1131	31.1968	31.0348	30.4154	30.5637	30.5648
Gene: Sec61g	Type_Where: goblet_crypt&villi	25.2902	25.1087	25.0105	24.2658	24.5256	24.5193
Gene: Manf	Type_Where: goblet_crypt&villi	27.843	27.7853	28.0123	27.1517	27.2385	27.1994
Gene: Galnt12	Type_Where: goblet_crypt&villi	23.8752	23.8335	23.749	23.3427	23.1478	23.1803
Gene: Bcat2	Type_Where: goblet_crypt&villi	26.8722	26.77	26.8416	26.2096	26.1617	26.0712
Gene: Mydgf	Type_Where: goblet_crypt&villi	28.0895	28.2898	28.1915	27.6296	27.498	27.5101
Gene: Naa20	Type_Where: goblet_crypt&villi	23.0437	23.0538	23.1482	22.5055	22.226	22.356
Gene: Fam98a	Type_Where: goblet_crypt&villi	26.8447	26.8439	26.7715	26.0691	26.1391	26.1223
Gene: Tnfaip8	Type_Where: goblet_crypt&villi	25.7112	25.6341	25.6465	24.8995	24.6914	25.0833
Gene: Srm	Type_Where: goblet_crypt&villi	27.6251	27.5124	27.5379	26.7853	26.7908	26.8669
Gene: Tmed9	Type_Where: goblet_crypt&villi	28.4749	28.242	28.578	27.79	27.6467	27.7213
Gene: Fkbp11	Type_Where: goblet_crypt&villi	25.8857	25.7819	25.9056	25.0979	25.1043	25.3578
Gene: Asns	Type_Where: goblet_crypt&villi	29.7934	29.95	29.939	29.1524	29.1051	29.1672
Gene: Sec62	Type_Where: goblet_crypt&villi	27.2738	27.642	27.4786	26.7235	26.6799	26.6889
Gene: Dnajc10	Type_Where: goblet_crypt&villi	27.227	27.5531	27.2996	26.6946	26.2556	26.4952
Gene: Stk38l	Type_Where: goblet_crypt&villi	23.2999	23.1575	23.9849	22.6982	22.4764	22.3273
Gene: Ergic1	Type_Where: goblet_crypt&villi	28.17	28.2885	28.1219	27.3449	27.34	27.4409
Gene: Tst	Type_Where: goblet_crypt&villi	26.9425	27.0628	27.1177	26.3772	26.0534	26.216
Gene: Cyp51a1	Type_Where: goblet_crypt&villi	30.5021	30.6063	30.3669	29.5888	29.5452	29.6778
Gene: Anxa3	Type_Where: goblet_crypt&villi	30.2132	30.2943	30.16	29.1767	29.2622	29.2947
Gene: Yif1b	Type_Where: goblet_crypt&villi	24.018	24.184	23.9344	23.0864	22.8969	23.0192
Gene: Galnt3	Type_Where: goblet_crypt&villi	27.0047	26.9518	26.8271	26.0716	25.7255	25.9466
